signal_type,entry_time,entry_price,exit_price,exit_reason,hold_hours,pnl_pct,pnl_actual
sell_3_original,2026-03-22 12:15:00,66527.01,68190.18525,stop_loss,24.0,-2.5000000000000004,-0.37500000000000006
buy_3_original,2026-03-22 12:35:00,66407.65,70348.0,timeout,24.0,5.93357843561699,0.8900367653425485
sell_3_original,2026-03-22 13:10:00,67163.99,68843.08975,stop_loss,24.0,-2.4999999999999907,-0.3749999999999986
buy_3_original,2026-03-22 13:40:00,66707.56,71219.99,timeout,24.0,6.764495658363172,1.0146743487544758
sell_3_original,2026-03-22 14:25:00,67288.94,68971.1635,stop_loss,24.0,-2.499999999999989,-0.37499999999999833
buy_3_original,2026-03-22 14:55:00,66926.44,71446.46,timeout,24.0,6.753713480053629,1.0130570220080444
sell_3_original,2026-03-22 15:45:00,67096.77,68774.18925,stop_loss,24.0,-2.4999999999999876,-0.3749999999999981
buy_3_original,2026-03-22 16:10:00,66704.0,70525.19,timeout,24.0,5.72857699688175,0.8592865495322625
sell_3_original,2026-03-22 16:40:00,66963.51,68637.59774999999,stop_loss,24.0,-2.4999999999999876,-0.3749999999999981
buy_3_original,2026-03-22 17:00:00,66834.87,70620.15,timeout,24.0,5.663630377376359,0.8495445566064538
sell_3_original,2026-03-22 17:40:00,66954.0,68627.84999999999,stop_loss,24.0,-2.499999999999987,-0.37499999999999806
buy_3_original,2026-03-22 18:45:00,66789.58,71130.89,timeout,24.0,6.499980985057845,0.9749971477586767
sell_3_original,2026-03-22 19:05:00,66890.56,68562.824,stop_loss,24.0,-2.4999999999999933,-0.374999999999999
buy_3_original,2026-03-22 19:30:00,66588.22,70972.75,timeout,24.0,6.5845430317855005,0.987681454767825
sell_3_original,2026-03-22 19:55:00,66788.88,68458.602,stop_loss,24.0,-2.499999999999991,-0.37499999999999867
buy_3_original,2026-03-22 20:15:00,66283.38,71586.05040000001,take_profit,24.0,8.000000000000004,1.2000000000000004
sell_3_original,2026-03-22 20:45:00,66471.29,68133.07224999998,stop_loss,24.0,-2.499999999999984,-0.3749999999999976
buy_3_original,2026-03-22 21:10:00,66281.4,71583.912,take_profit,24.0,8.000000000000004,1.2000000000000004
sell_3_original,2026-03-22 21:30:00,66596.65,68261.56624999999,stop_loss,24.0,-2.4999999999999925,-0.37499999999999883
buy_3_original,2026-03-22 22:05:00,66385.88,71696.7504,take_profit,24.0,7.999999999999999,1.1999999999999997
sell_3_original,2026-03-22 22:35:00,66720.19,68388.19475,stop_loss,24.0,-2.499999999999989,-0.37499999999999833
buy_3_original,2026-03-23 00:35:00,66577.7,70562.52,timeout,24.0,5.985217272450096,0.8977825908675143
sell_3_original,2026-03-23 01:10:00,66872.0,68543.79999999999,stop_loss,24.0,-2.4999999999999822,-0.37499999999999734
buy_3_original,2026-03-23 01:40:00,66636.0,70392.31,timeout,24.0,5.637058046701479,0.8455587070052218
sell_3_original,2026-03-23 02:20:00,66771.63,68440.92075,stop_loss,24.0,-2.5,-0.375
buy_3_original,2026-03-23 02:40:00,66617.82,70531.31,timeout,24.0,5.874539274926724,0.8811808912390086
sell_3_original,2026-03-23 03:15:00,66772.83,68442.15075,stop_loss,24.0,-2.4999999999999982,-0.3749999999999997
buy_3_original,2026-03-23 03:35:00,66589.86,70469.11,timeout,24.0,5.82558665838913,0.8738379987583695
sell_3_original,2026-03-23 04:15:00,66726.14,68394.2935,stop_loss,24.0,-2.5000000000000004,-0.37500000000000006
buy_3_original,2026-03-23 04:40:00,66429.37,71743.7196,take_profit,24.0,8.000000000000004,1.2000000000000004
sell_3_original,2026-03-23 05:00:00,66573.41,68237.74524999999,stop_loss,24.0,-2.4999999999999836,-0.3749999999999975
buy_3_original,2026-03-23 06:30:00,66498.15,70458.13,timeout,24.0,5.955022808905226,0.8932534213357839
sell_3_original,2026-03-23 07:15:00,66797.01,68466.93525,stop_loss,24.0,-2.5000000000000004,-0.37500000000000006
buy_3_original,2026-03-23 07:45:00,66506.32,70968.27,timeout,24.0,6.709061635044604,1.0063592452566905
sell_3_original,2026-03-23 08:05:00,66730.6,68398.865,stop_loss,24.0,-2.4999999999999987,-0.3749999999999998
buy_3_original,2026-03-23 08:40:00,66334.37,71641.1196,take_profit,24.0,8.000000000000016,1.2000000000000024
sell_3_original,2026-03-23 09:20:00,66665.05,68331.67625,stop_loss,24.0,-2.5000000000000013,-0.37500000000000017
buy_3_original,2026-03-23 10:05:00,66158.26,71450.92079999999,take_profit,24.0,7.999999999999997,1.1999999999999995
sell_3_original,2026-03-23 10:30:00,66540.43,68203.94074999998,stop_loss,24.0,-2.4999999999999805,-0.37499999999999706
buy_3_original,2026-03-23 10:50:00,66390.43,71701.6644,take_profit,24.0,8.000000000000004,1.2000000000000004
sell_3_original,2026-03-23 11:15:00,66477.81,68139.75524999999,stop_loss,24.0,-2.4999999999999845,-0.37499999999999767
buy_3_original,2026-03-23 11:40:00,66323.3,71629.164,take_profit,24.0,8.000000000000002,1.2000000000000002
sell_3_original,2026-03-23 12:00:00,66793.83,68463.67575,stop_loss,24.0,-2.49999999999999,-0.37499999999999845
buy_3_original,2026-03-23 12:20:00,66566.26,71068.11,timeout,24.0,6.762960695102905,1.0144441042654357
sell_3_original,2026-03-23 12:50:00,66675.96,68342.859,stop_loss,24.0,-2.4999999999999853,-0.3749999999999978
buy_3_original,2026-03-23 13:25:00,66259.25,71559.99,take_profit,24.0,8.000000000000009,1.2000000000000013
sell_3_original,2026-03-23 14:05:00,66491.12,68153.39799999999,stop_loss,24.0,-2.499999999999987,-0.37499999999999806
buy_3_original,2026-03-23 14:25:00,65868.79,71138.2932,take_profit,24.0,8.00000000000001,1.2000000000000015
sell_3_original,2026-03-23 14:45:00,66168.42,67822.6305,stop_loss,24.0,-2.5000000000000013,-0.37500000000000017
buy_3_original,2026-03-24 18:20:00,65800.59,71064.6372,take_profit,24.0,8.000000000000002,1.2000000000000002
sell_3_original,2026-03-24 19:00:00,66471.08,68132.85699999999,stop_loss,24.0,-2.499999999999981,-0.3749999999999971
buy_3_original,2026-03-24 22:25:00,66243.65,71543.14199999999,take_profit,24.0,7.999999999999999,1.1999999999999997
sell_3_original,2026-03-24 23:00:00,67283.25,68965.33124999999,stop_loss,24.0,-2.4999999999999827,-0.3749999999999974
buy_3_original,2026-03-24 23:20:00,66703.3,71377.93,timeout,24.0,7.008094052318235,1.0512141078477353
sell_3_original,2026-03-24 23:45:00,67197.36,68877.294,stop_loss,24.0,-2.4999999999999907,-0.3749999999999986
buy_3_original,2026-03-26 02:25:00,66964.1,69023.45,timeout,24.0,3.075304528844547,0.46129567932668203
sell_3_original,2026-03-26 12:25:00,67407.98,69093.17949999998,stop_loss,24.0,-2.4999999999999822,-0.37499999999999734
buy_3_original,2026-03-26 12:45:00,66671.7,66488.84,timeout,24.0,-0.27426929266840444,-0.04114039390026066
sell_3_original,2026-03-26 13:05:00,66977.97,68652.41924999999,stop_loss,24.0,-2.499999999999986,-0.37499999999999784
buy_3_original,2026-03-26 13:25:00,66710.73,66697.8,timeout,24.0,-0.019382189341943967,-0.002907328401291595
